          Bytes;   num_sta;                     time;  time int
         678998;       N/A; Fri Feb  6 22:00:00 2015;1423260000
         704951;       N/A; Fri Feb  6 21:00:00 2015;1423256400
         548178;       N/A; Fri Feb  6 20:00:00 2015;1423252800
        6805726;         1; Fri Feb  6 19:00:00 2015;1423249200
              0;       N/A; Fri Feb  6 18:00:00 2015;1423245600
              0;       N/A; Fri Feb  6 17:00:00 2015;1423242000
              0;       N/A; Fri Feb  6 16:00:00 2015;1423238400
              0;       N/A; Fri Feb  6 15:00:00 2015;1423234800
              0;       N/A; Fri Feb  6 14:00:00 2015;1423231200
              0;       N/A; Fri Feb  6 13:00:00 2015;1423227600
              0;       N/A; Fri Feb  6 12:00:00 2015;1423224000
              0;       N/A; Fri Feb  6 11:00:00 2015;1423220400
              0;       N/A; Fri Feb  6 10:00:00 2015;1423216800
              0;       N/A; Fri Feb  6 09:00:00 2015;1423213200
              0;       N/A; Fri Feb  6 08:00:00 2015;1423209600
              0;       N/A; Fri Feb  6 07:00:00 2015;1423206000
              0;       N/A; Fri Feb  6 06:00:00 2015;1423202400
              0;       N/A; Fri Feb  6 05:00:00 2015;1423198800
              0;       N/A; Fri Feb  6 04:00:00 2015;1423195200
              0;       N/A; Fri Feb  6 03:00:00 2015;1423191600
         123435;       N/A; Fri Feb  6 02:00:00 2015;1423188000
           4009;       N/A; Fri Feb  6 01:00:00 2015;1423184400
              0;       N/A; Fri Feb  6 00:00:00 2015;1423180800
